Agra 08,Aligarh 09,Ambedkar Nagar 70,Amethi 72,Amroha 22,Auraiya 28,Ayodhya 67,Azamgarh 47,Baghpat 07,Bahraich 64,Ballia 49,Balrampur 65,Banda 38,Barabanki 69,Bareilly 15,Basti 54,Bhadohi 46,Bijnor 21,Budaun 16,Bulandsahar 05,Chandauli 43,Chitrakoot 39,Deoria 52,Etah 13,Etawah 25,Farrukhabad 26,Fatehpur 30,Firozabad 11,Gautam Buddha Nagar 06,Ghaziabad 04,Ghazipur 42,Gonda 63,Gorakhpur 50,Hamirpur 36,Hapur 73,Hardoi 61,Hathras 14,Jalaun 35,Jaunpur 41,Jhansi 33,Kannauj 27,Kanpur Dehat 24,Kanpur Nagar 23,Kasganj 71,Kaushambi 32,Kheri 62,Kushinagar 53,Lalitpur 34,Lucknow 57,Maharajganj 51,Mahoba 37,Mainpuri 12,Mathura 10,Mau 48,Meerut 03,Mirzapur 44,Moradabad 19,Muzaffarnagar 02,Pilibhit 18,Pratapgarh 31,Pryagraj 29,Rae Bareli 59,Rampur 20,Saharanpur 01,Sambhal 75,Sant Kabir Nagar 56,Shahjahanpur 17,Shamli 74,Shrawasti 66,Siddharthnagar 55,Sitapur 60,Sonbhadra 45,Sultanpur 68,Unnao 58,Varanasi 40
Agra Cantt. 87,Aligarh 76,Akbarpur 281,Amethi 186,Amroha 41,Auraiya 204,Ayodhya 275,Atrauliya 343,Baghpat 52,Bahraich 286,Bairia 363,Balrampur 294,Baberu 233,Barabanki 268,Aonla 126,Basti Sadar 310,Aurai 394,Barhapur 19,Badaun 115,Anupshahr 67,Chakia 383,Chitrakoot 236,Barhaj 342,Aliganj 103,Bharthana 201,Amritpur 193,Ayah Shah 241,Firozabad 97,Dadri 62,Dholana 58,Ghazipur 375,Colonelganj 298,Bansgaon 327,Hamirpur 228,Dholana 58,Balamau 160,Hathras 78,Kalpi 220,Badlapur 364,Babina 222,Chhibramau 196,Akbarpur - Raniya 206,Arya Nagar 214,Amanpur 101,Chail 253,Dhaurahra 141,Fazilnagar 332,Lalitpur 226,Bakshi Kaa Talab 169,Maharajganj 318,Charkhari 231,Bhongaon 108,Baldev 85,Ghosi 354,Hastinapur 45,Chhanbey 395,Bilari 30,Budhana 11,Barkhera 128,Babaganj 245,Allahabad North 262,Bachhrawan 177,Bilaspur 36,Behat 1,Asmoli 32,Dhanghata 314,Dadraul 136,Kairana 8,Bhinga 289,Bansi 304,Biswan 149,Duddhi 403,Isauli 187,Bangermau 162,Ajagara 385
Agra North 89,Atrauli 73,Alapur 279,Gauriganj 185,Dhanaura 39,Bidhuna 202,Bikapur 274,Azamgarh 347,Baraut 51,Balha 282,Ballia Nagar 361,Gainsari 292,Banda 235,Dariyabad 270,Baheri 118,Harraiya 307,Bhadohi 392,Bijnor 22,Bilsi 114,Bulandshahr 65,Mughalsarai 380,Manikpur 237,Bhatpar Rani 340,Etah 104,Etawah 200,Bhojpur 195,Bindki 239,Jasrana 96,Jewar 63,Ghaziabad 56,Jakhanian 373,Gaura 301,Caimpiyarganj 320,Rath 229,Garhmukteshwar 60,Bilgram-Mallanwan 159,Sadabad 79,Madhaugarh 219,Jaunpur 366,Garautha 225,Kannauj 198,Bhognipur 208,Bilhaur 209,Kasganj 100,Manjhanpur 252,Gola Gokrannath 139,Hata 334,Mehroni 227,Lucknow Cantt. 175,Nautanwa 316,Mahoba 230,Karhal 110,Chhata 81,Madhuban 353,Kithore 46,Chunar 398,Kanth 25,Charthawal 12,Bisalpur 130,Bishwavnathganj 247,Allahabad South 263,Harchandpur 179,Chamraua 35,Deoband 5,Bilari 30,Khalilabad 313,Jalalabad 132,Shamli 10,Shrawasti 290,Doomariyaganj 306,Hargaon 147,Ghorawal 400,Jagdishpur 184,Bhagwantnagar 166,Pindra 384
Agra Rural 90,Barauli 72,Jalalpur 280,Jagdishpur 184,Hasanpur 42,Dibiyapur 203,Goshainganj 276,Didarganj 350,Chhaprauli 50,Kaiserganj 288,Bansdih 362,Tulsipur 291,Naraini 234,Haidergarh 272,Bareilly 124,Kaptanganj 308,Gyanpur 393,Chandpur 23,Bisauli 112,Debai 68,Saiyadraja 382,,Deoria 337,Jalesar 106,Jaswantnagar 199,Farrukhabad 194,Fatehpur 240,Shikohabad 98,Noida 61,Loni 53,Jangipur 376,Gonda 296,Chauri-Chaura 326,,Hapur 59,Gopamau 157,Sikandra Rao 80,Orai 221,Kerakat 372,Jhansi Nagar 223,Tirwa 197,Rasulabad 205,Bithoor 210,Patiyali 102,Sirathu 251,Kasta 143,Khadda 329,,Lucknow Central 174,Paniyara 319,,Kishani 109,Goverdhan 83,Mau 356,Meerut 48,Majhawan 397,Kundarki 29,Khatauli 15,Pilibhit 127,Kunda 246,Allahabad West 261,Rae Bareli 180,Milak 38,Gangoh 7,Chandausi 31,Menhdawal 312,Katra 131,Thana Bhawan 9,,Itwa 305,Laharpur 148,Obra 402,Kadipur 191,Mohan 164,Rohaniya 387
Agra South 88,Chharra 74,Katehari 277,Tiloi 178,Naugawan Sadat 40,,Milkipur 273,Gopalpur 344,,Mahasi 285,Belthara Road 357,Utraula 293,Tindwari 232,Kursi 266,Bareilly Cantt. 125,Mahadewa 311,,Dhampur 20,Dataganj 117,Khurja 70,Sakaldiha 381,,Pathardeva 338,Marhara 105,,Kaimganj 192,Husainganj 242,Sirsaganj 99,,Modi Nagar 57,Mohammadabad 378,Katra Bazar 297,Chillupar 328,,,Hardoi 156,,,Machhlishahr 369,Mauranipur 224,,Sikandra 207,Ghatampur 218,,,Lakhimpur 142,Kushinagar 333,,Lucknow East 173,Pharenda 315,,Mainpuri 107,Mant 82,Muhammadabad- Gohna (SC) 355,Meerut Cantt. 47,Marihan 399,Moradabad Nagar 28,Meerapur 16,Puranpur 129,Patti 249,Bara 264,Salon 181,Rampur 37,Nakur 2,Gunnaur 111,,Powayan 134,,,Kapilvastu 303,Mahmoodabad 151,Robertsganj 401,Lambhua 190,Purwa 167,Sevapuri 391
Bah 94,Iglas 77,Tanda 278,,,,Rudauli 271,Lalganj 351,,Matera 284,Phephana 360,,,Ram Nagar 267,Bhojipura 120,Rudhauli 309,,Nagina 18,Sahaswan 113,Shikarpur 69,,,Rampur Karkhana 339,,,,Jahanabad 238,Tundla 95,,Muradnagar 54,Saidpur 374,Mankapur 300,Gorakhpur Rural 323,,,Sandi 158,,,Malhani 367,,,,Govindnagar 212,,,Mohammdi 144,Padrauna 330,,Lucknow North 172,Siswa 317,,,Mathura 84,,Meerut South 49,Mirzapur 396,Moradabad Rural 27,Muzaffar Nagar 14,,Pratapgarh 248,Handia 258,Sareni 182,Suar 34,Rampur Maniharan 6,Sambhal 33,,Shahjahanpur 135,,,Shohratgarh 302,Maholi 145,,Sadar 189,Safipur 163,Shivpur 386
Etmadpur 86,Khair 71,,,,,,Mehnagar 352,,Nanpara 283,Rasara 358,,,Rudauli 271,Bithari Chainpur 123,,,Najibabad 17,Shekhupur 116,Sikandrabad 64,,,Rudrapur 336,,,,Khaga 243,,,Sahibabad 55,Zahoorabad 377,Mehnaun 295,Gorakhpur Urban 322,,,Sandila 161,,,Mariyahu 370,,,,Kalyanpur 211,,,Nighasan 138,Ramkola 335,,Lucknow West 171,,,,,,Sardhana 44,,Thakurdwara 26,Purqazi 13,,Rampur Khas 244,Karachhana 260,Unchahar 183,,Saharanpur 4,,,Tilhar 133,,,,Misrikh 153,,Sultanpur 188,Unnao 165,Varanasi Cantt. 390
Fatehabad 93,Koil 75,,,,,,Mubarakpur 346,,Payagpur 287,Sikanderpur 359,,,Zaidpur 269,Faridpur 122,,,Nehtaur 21,,Syana 66,,,Salempur 341,,,,,,,,Zamania 379,Tarabganj 299,Khajani 325,,,Sawaijpur 154,,,Mungra Badshahpur 368,,,,Kanpur Cantt. 216,,,Palia 137,Tamkuhi Raj 331,,Malihabad 168,,,,,,Siwalkhas 43,,,,,Raniganj 250,Koraon 265,,,Saharanpur Nagar 3,,,,,,,Sevata 150,,,,Varanasi North 388
Fatehpur Sikri 91,,,,,,,Nizamabad 348,,,,,,,Meerganj 119,,,Noorpur 24,,,,,,,,,,,,,,,Pipraich 321,,,Shahabad 155,,,Shahganj 365,,,,Kidwai Nagar 215,,,Sri Nagar 140,,,Mohanlalganj 176,,,,,,,,,,,,Meja 259,,,,,,,,,,Sidhauli 152,,,,Varanasi South 389
Kheragarh 92,,,,,,,Phoolpur Pawai 349,,,,,,,Nawabganj 121,,,,,,,,,,,,,,,,,,Sahajanwa 324,,,,,,Zafrabad 371,,,,Maharajpur 217,,,,,,Sarojini Nagar 170,,,,,,,,,,,,Phaphamau 254,,,,,,,,,,Sitapur 146,,,,
,,,,,,,Sagri 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sishamau 213,,,,,,,,,,,,,,,,,,Phulpur 256,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pratappur 257,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soraon 255,,,,,,,,,,,,,,
